âˆ†G,âˆ†G err,Kd,Kd err
-11.790999999999999,3.18357,2.246559502458871,0.6065710656638952
-11.751,3.05526,2.403572307065944,0.6249287998371454
-11.681,2.3362,2.7052095178517925,0.5410419035703585
-11.604000000000001,3.7132800000000006,3.080909869305198,0.9858911581776635
-11.600999999999999,4.29237,3.0965595641660384,1.1457270387414342
-11.597999999999999,4.291259999999999,3.1122887527347634,1.1515468385118623
-11.591,3.01366,3.1493016069920765,0.81881841781794
-11.582,3.9378800000000007,3.1975370810828774,1.0871626075681784
-11.581,4.16916,3.2029419768238956,1.1530591116566025
-11.581,4.05335,3.2029419768238956,1.1210296918883633
-11.581,3.1268700000000003,3.2029419768238956,0.8647943337424518
-11.574000000000002,3.5879400000000006,3.24103292339132,1.0047202062513092
-11.530999999999999,2.5368199999999996,3.485163471450792,0.7667359637191743
-11.530999999999999,2.8827499999999997,3.485163471450792,0.871290867862698
-11.501,3.3352899999999996,3.666296657006766,1.063226030531962
-11.501,4.25537,3.666296657006766,1.3565297630925033
-11.431,4.1151599999999995,4.126399935065819,1.4855039766236946
-11.431,2.2862,4.126399935065819,0.8252799870131637
-11.411,3.3091899999999996,4.268162549860473,1.237767139459537
-11.280999999999999,3.83554,5.316105176839855,1.807475760125551
-11.270999999999999,2.2542,5.406651552937156,1.0813303105874312
-11.231,2.69544,5.784524261374508,1.3882858227298818
-11.190999999999999,3.69303,6.188806621401915,2.0423061850626323
-11.001,3.41031,8.53038092839344,2.644418087801966
-11.001,3.08028,8.53038092839344,2.3885066599501634
-10.870999999999999,3.6961399999999998,10.624806736878092,3.612434290538552
-10.821,2.27241,11.560992549515555,2.4278084353982665
-10.761,2.69025,12.793931466529031,3.198482866632258
-10.600999999999999,2.54424,16.763360440140517,4.023206505633723
-10.470999999999998,4.08369,20.879192433750358,8.14288504916264
-10.421,3.43893,22.718925072647092,7.497245273973541
-10.411,3.43563,23.105884371931904,7.624941842737528
-10.360999999999999,3.31552,25.141817982127744,8.045381754280879
-10.011000000000001,2.3025300000000004,45.4062100234779,10.443428305399916
-9.821,3.14272,62.58593808302944,20.027500186569423
